source_platform,title,app_id,field_name,value,evidence_type,evidence_text,evidence_url,confidence
ios,PolyBuzz: Chat with Characters,ai.socialapps.speakmaster,app_type,companion,classification_rule,Known character-chat companion platform.,https://apps.apple.com/us/app/polybuzz-chat-with-characters/id6449190344?uo=4,high
ios,FriendX - Virtual AI Boyfriend,app.aiboy,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/friendx-virtual-ai-boyfriend/id6741568820?uo=4,medium
ios,Talkie Lab - AI Playground,com.tara.ai,app_type,general_purpose,classification_rule,Markets a multi-model AI playground rather than relational chat.,https://apps.apple.com/us/app/talkie-lab-ai-playground/id6740326134?uo=4,high
ios,SoulTalk: AI Friends Chat,cc.aifriends.soultalk,app_type,companion,classification_rule,Listing contains meaningful companion or relationship signals.,https://apps.apple.com/us/app/soultalk-ai-friends-chat/id6504914846?uo=4,low
ios,AI Boyfriend Chat: iBoy,com.apperry.aibf,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-chat-iboy/id1565524138?uo=4,medium
ios,"Character AI: Chat, Talk, Text",ai.character.app,app_type,companion,classification_rule,Known character-chat and roleplay platform.,https://apps.apple.com/us/app/character-ai-chat-talk-text/id1671705818?uo=4,high
ios,AI Boyfriend: Roleplay Chat,com.wizarddynamics.aiboyfriend,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-roleplay-chat/id6756181306?uo=4,medium
ios,Virtual AI Boyfriend: SpicyBF,com.onyxtech.spicybf,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/virtual-ai-boyfriend-spicybf/id6756841206?uo=4,medium
ios,Ai Boyfriend Chat,com.aivirtualboyfriend.aivirtualboyfriend,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-chat/id6467125779?uo=4,medium
ios,CHAI: Social AI Platform- Chat,com.beauchamp.Messenger.external,app_type,companion,classification_rule,Known user-created character and companion chat platform.,https://apps.apple.com/us/app/chai-social-ai-platform-chat/id1544750895?uo=4,high
ios,Him - AI Boyfriend Chat,com.doubley.drip,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/him-ai-boyfriend-chat/id6753196686?uo=4,medium
ios,Soulplay - AI Roleplay,app.soulplay.soulplay,app_type,companion,classification_rule,Listing contains meaningful companion or relationship signals.,https://apps.apple.com/us/app/soulplay-ai-roleplay/id6501972568?uo=4,low
ios,Flipped:Chat with AI Character,com.dating.ai,app_type,companion,classification_rule,Developer domain matches a known companion or character-chat platform.,https://apps.apple.com/us/app/flipped-chat-with-ai-character/id6445969623?uo=4,high
ios,X.O: AI Girlfriend & Boyfriend,com.xo.ai.girlfriend.boyfriend.chat,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/x-o-ai-girlfriend-boyfriend/id6741393424?uo=4,medium
ios,dotdotdot Fantasy AI Boyfriend,com.rheality.dot,app_type,companion,classification_rule,Developer domain matches a known companion or character-chat platform.,https://apps.apple.com/us/app/dotdotdot-fantasy-ai-boyfriend/id6744018732?uo=4,high
ios,Replika - AI Friend,ai.replika.app,app_type,companion,classification_rule,Known AI companion platform focused on friendship and relationships.,https://apps.apple.com/us/app/replika-ai-friend/id1158555867?uo=4,high
ios,AI Boyfriend Chat - Husby,filin.ChatAI,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-chat-husby/id6448729671?uo=4,medium
ios,Spicy Chat AI,FirstWater.CheekyChat,app_type,companion,classification_rule,Listing contains meaningful companion or relationship signals.,https://apps.apple.com/us/app/spicy-chat-ai/id6449228704?uo=4,low
ios,SynClub:Chat With AI Character,com.creativeapp.aichat,app_type,other,classification_rule,Fallback classification: not enough evidence for companion or broad assistant behavior.,https://apps.apple.com/us/app/synclub-chat-with-ai-character/id1671537674?uo=4,low
ios,AI Boyfriend Chat Companion,com.lyubimy.aiboyfriendchat,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-chat-companion/id6757181994?uo=4,medium
ios,Linky AI: AI Chat&Char Maker,com.aigc.ushow.ichat,app_type,other,classification_rule,Fallback classification: not enough evidence for companion or broad assistant behavior.,https://apps.apple.com/us/app/linky-ai-ai-chat-char-maker/id6450916631?uo=4,low
ios,My Virtual Boyfriend Talk,mobi.girlsapps.MyVirtualBoyfriendpubsdk,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/my-virtual-boyfriend-talk/id1003620852?uo=4,medium
ios,Jupi - AI Character Chat,com.jupi.aiassistant,app_type,other,classification_rule,Fallback classification: not enough evidence for companion or broad assistant behavior.,https://apps.apple.com/us/app/jupi-ai-character-chat/id1668337467?uo=4,low
ios,Kindroid: Your Personal AI,com.kindroid.app,app_type,companion,classification_rule,Known companion platform centered on personal AI relationships.,https://apps.apple.com/us/app/kindroid-your-personal-ai/id6451038161?uo=4,high
ios,Nomi: AI Companion with a Soul,ai.nomi.app,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/nomi-ai-companion-with-a-soul/id6450270929?uo=4,medium
ios,Flamify: AI Voice & Chat,com.chatflame.toltech,app_type,other,classification_rule,Fallback classification: not enough evidence for companion or broad assistant behavior.,https://apps.apple.com/us/app/flamify-ai-voice-chat/id6502898347?uo=4,low
ios,Boyfi - AI Partner & Boyfriend,com.runwayer.ameo,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/boyfi-ai-partner-boyfriend/id6737233936?uo=4,medium
ios,AI Boyfriend Chat - DreamWeave,com.dreamweave.ai,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-chat-dreamweave/id6748649572?uo=4,medium
ios,Lior: AI Boyfriend Chat,com.ziya.Lior,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/lior-ai-boyfriend-chat/id6752859042?uo=4,medium
ios,RolePlai - Ai Character Chat,io.aichat.ios.eo,app_type,companion,classification_rule,Developer domain matches a known companion or character-chat platform.,https://apps.apple.com/us/app/roleplai-ai-character-chat/id1671444242?uo=4,high
ios,AI Boyfriend: Companion & Love,com.ai.chatbot.roleplay.boyfriend,app_type,companion,classification_rule,"Listing strongly emphasizes companion, roleplay, character chat, or relationship framing.",https://apps.apple.com/us/app/ai-boyfriend-companion-love/id6479238342?uo=4,medium
ios,MeChat - Interactive Stories,world.playme.mechat,app_type,other,classification_rule,Interactive story app rather than a general assistant.,https://apps.apple.com/us/app/mechat-interactive-stories/id1536157979?uo=4,high
