title,source_platform,app_type,web_accessible,web_url,login_required,subscription_required_for_long_chat,confidence,chosen_candidate,reason_for_choice_or_rejection
Talkie: Creative AI Community,android,companion,True,https://www.talkie-ai.com/,unknown,unknown,high,True,companion app; browser chat appears available; login complexity uncertain; free-tier limits uncertain; platform has a public web footprint worth probing; manual PoC preference boost for talkie; public character pages are well indexed for Talkie
2Soul: 3D AI Companion Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI BF - Virtual Boyfriend Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend - LuvBae,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend Anime Wonn,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend Chat - DreamWeave,ios,companion,False,,unknown,False,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free tier appears sufficient for a short demo
AI Boyfriend Chat - Husby,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend Chat - Imate,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Boyfriend Chat Companion,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend Chat: iBoy,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Boyfriend: BF Chat App 18+,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend: Companion & Love,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Boyfriend: Floze AI Chat,ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
AI Boyfriend: Roleplay Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend: Truth or Dare+,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Boyfriend:Love Chat Partner,ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
AI Chat Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Chat: Virtual Boyfriend,ios,companion,unknown,,False,True,medium,False,companion app; web access uncertain; guest or no-login access is favorable; subscription likely limits long chat
AI Chat: Virtual Girlfriend,ios,companion,unknown,,True,unknown,medium,False,companion app; web access uncertain; login required; free-tier limits uncertain
AI ChatFun - Roleplay friends,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Companion NPC,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Companion Talking Pet - Emy,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Companion: Mental Health,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girfriend Virtual CoupleAI,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girl Friend Chat  - AMA,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI GirlFriend & Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI GirlFriend AI Story ChatJoy,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend & Companion Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - AI GF Chat 18+,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - Buzz,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - Chat Game,ios,companion,unknown,,False,False,medium,False,companion app; web access uncertain; guest or no-login access is favorable; free tier appears sufficient for a short demo
AI Girlfriend - Katarina,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - Katarina,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - MyGirl,ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
AI Girlfriend - Real Friends,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - Roleplay Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend - TruMate,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend : Live Simulator,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Chat & Roleplay,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Chat - Companion,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend Chat - Girly,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Chat : Jelly,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend Chat Simulator,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
